,Date,Calculated Price
760,1963-05-01,12.894302421010714
759,1963-04-01,12.86599722711107
758,1963-03-01,12.580421655530527
757,1963-02-01,11.983636555087184
756,1963-01-01,11.996833071465796
755,1962-12-01,11.807906566403341
754,1962-11-01,11.337404288433357
753,1962-10-01,10.836746595711485
752,1962-09-01,10.108905406447281
751,1962-08-01,10.40653222817303
750,1962-07-01,10.468295169674107
749,1962-06-01,10.161420277299657
748,1962-05-01,9.892348400797953
747,1962-04-01,11.166439102379448
746,1962-03-01,12.03150425857068
745,1962-02-01,12.395945042829878
744,1962-01-01,12.353941641249628
743,1961-12-01,12.122403730006505
742,1961-11-01,12.560774769460684
741,1961-10-01,12.416740578747216
740,1961-09-01,11.85142748758921
739,1961-08-01,11.694718262866793
738,1961-07-01,11.758212610966009
737,1961-06-01,11.323394270961103
736,1961-05-01,11.3267923086537
735,1961-04-01,11.45045724692044
734,1961-03-01,11.307976739996485
733,1961-02-01,10.987151904388346
732,1961-01-01,10.625872247957782
731,1960-12-01,10.180964116084873
730,1960-11-01,9.656610183140351
729,1960-10-01,9.403651945798376
728,1960-09-01,9.082144046550487
727,1960-08-01,9.236391789434036
726,1960-07-01,9.494646165125449
725,1960-06-01,9.355252896960735
724,1960-05-01,9.565698258651059
723,1960-04-01,9.198671274787054
722,1960-03-01,9.256058839592528
721,1960-02-01,9.112087851538224
720,1960-01-01,9.211572838190683
719,1959-12-01,9.556564828499516
718,1959-11-01,9.701111388183449
717,1959-10-01,9.376678318367919
716,1959-09-01,9.314272691335969
715,1959-08-01,9.297537124511848
714,1959-07-01,9.654763369171182
713,1959-06-01,9.685757794112341
712,1959-05-01,9.292677534406927
711,1959-04-01,9.349710770104565
